Out:  F0  7E  7F  06  01  F7  |  Sysex mode engage
Out:  F0  00  20  6B  7F  42  02  03  07  77  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  77  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  01  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  01  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  01  4A  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  01  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  01  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  01  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  19  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1A  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1A  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1A  14  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1A  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1A  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1B  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1B  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1B  15  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1B  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1B  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1B  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1B  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  1C  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  1C  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  1C  16  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  1C  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  1C  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  1C  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  1C  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  02  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  02  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  02  47  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  02  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  02  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  02  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  03  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  03  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  03  4C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  03  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  03  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  03  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  30  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  14  30  40  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  15  30  40  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  04  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  04  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  04  4D  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  04  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  04  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  04  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  04  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  04  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  05  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  05  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  05  5D  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  05  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  05  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  05  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  05  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  05  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  42  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  42  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  42  49  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  42  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  42  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  42  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  42  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  43  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  43  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  43  4B  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  43  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  43  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  43  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  43  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  44  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  44  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  44  4F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  44  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  44  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  44  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  44  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  45  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  45  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  45  48  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  45  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  45  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  45  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  45  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  06  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  06  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  06  12  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  06  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  06  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  06  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  06  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  06  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  06  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  46  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  46  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  46  50  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  46  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  46  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  46  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  46  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  47  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  47  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  47  51  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  47  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  47  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  47  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  47  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  48  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  48  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  48  52  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  48  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  48  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  48  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  48  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  49  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  49  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  49  53  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  49  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  49  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  49  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  49  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  4A  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  4A  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  4A  55  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  4A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  4A  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  4A  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  4A  0C  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  07  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  07  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  07  13  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  07  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  07  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  07  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  07  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  07  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  50  08  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  50  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  50  40  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  50  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  50  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  50  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  07  50  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  08  50  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  51  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  40  52  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  08  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  08  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  08  10  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  08  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  08  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  08  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  08  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  08  02  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  01  09  01  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  02  09  41  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  03  09  11  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  04  03  20  09  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  04  09  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  05  09  7F  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  06  09  00  F7  |  Sysex
Out:  F0  00  20  6B  7F  42  02  03  09  09  02  F7  |  Sysex
# String for LCD that translates to "Ardour" in ASCII
Out:  F0  00  20  6B  7F  42  04  03  20  3F  41  72  64  6F  75  72  00  F7  |  Sysex mode over
